"downloads","Kataloge"
"To sign in to our site, click on the <a href=""%customer_url"">My Account</a> page.","Um sich in Ihr Online ErgoShop-Kundenkonto einzuloggen, klicken Sie auf <a href=""%customer_url"">Login</a> und melden Sie sich dort an:"
"To sign in to our LeitnerShop site, click on the <a href=""%customer_url"">My Account</a> page.","Um sich in Ihr Online LeitnerShop-Kundenkonto einzuloggen, klicken Sie auf <a href=""%customer_url"">Login</a> und melden Sie sich dort an:"
"Manage your customer account","Ihr Kundenkonto zu verwalten"
"Change password, manage adresses for shipping to multiple family members and friends","Änderungen des Passwortes, Adressverwaltung für den Versand an mehrere Familienmitglieder und Freunde"
"View past orders","Ihre letzten Bestellung anzusehen"
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Klicken Sie bitte auf den untenstehenden Link, um Ihre Anmeldung zu bestätigen:"
"If you received this email in error, please don't click the subscription link above and simply delete it.","Wenn Sie diese E-Mail irrtümlich erhalten haben, löschen Sie sie einfach. Wenn Sie den Bestätigungslink oben nicht anklicken, werden Sie nicht angemeldet."
"If you have any questions please don't hesitate to contact us by email at the following address:","Für etwaige Rückfragen stehen wir gerne unter folgender E-Mail-Adresse zur Verfügung:"
"Regular Price","Regulärer Preis"
"or","|"
"Stockists","Fachhändler-Suche"
"Find a stockist","Fachhändler suchen"
"Enter a city, country or full post/zip code","Stadt, Land oder PLZ eigeben"
"Search","Suchen"
"No stores near your location.","Keine LEITNER ERGOMÖBEL Fachhändler in der Nähe des eingegebenen Ortes gefunden."
"VAT Number","USt-IdNr. (Unternehmen, Institutionen, Öffentliche Einrichtungen) - für steuerfreie innergemeinschaftliche Lieferung erforderlich"
"Continue as Guest","Als Gast fortfahren"
"Parcel Shop Delivery:","TIPP Lieferadresse DPD Paketshop:"
"In case you can not be at home at the exact time of delivery we give you the opportunity to enter the address of a local parcel shop. So you can avoid failed delivery attempts and save time.","Wenn Sie im Zeitraum der Zustellung Ihres bestellten Produktes nicht zuhause sein können, geben Sie am besten als Lieferadresse gleich ein nahegelegenes DPD-Depot an. Unter www.mydpd.at/shopfinder erhalten Sie die Adresse und die Öffnungszeiten eines DPD Paketshops in Ihrer Nähe. So kommt es nicht zu erfolglosen Zustellversuchen und Sie sparen damit Zeit."
"SKU","Artikelnr."
"Herr","Mr."
"Frau","Ms."
"The maximum you may purchase is %1.","Die Höchstbestellmenge ist %1. Größere Bestellmengen sind auf Anfrage möglich (Telefon: +43 7754 3137-10, E-Mail: office@ergomoebel.at)"
"Thank you for your registration. As a little thank-you we are sending you the follwoing coupon code which can be exchanged for all products except current promotions:","Vielen Dank für Ihre Anmeldung. Als kleines Dankeschön hierfür schenken wir Ihnen den folgenden Gutschein-Code in Höhe von EUR 10,--, den Sie auf ALLE Produkte (ab Bestellwert EUR 100,-- und ausgenommen Aktionen und bereits reduzierte Artikel) einlösen können:"
"We found other products you might like!","Weitere Produkte, die Ihnen gefallen könnten!"
"Related Products","Zubehör und Ersatzteile"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Der angegebene Benutzername oder das Passwort ist nicht korrekt. Bitte überprüfen Sie Ihre Eingaben nochmals."
"Shop By","Filtern nach"
"Shopping Options","Filteroptionen"
"Redirect notification","Weiterleitung in den entsprechenden Ländershop"
Accept,OK
Decline,Nein
